Table S1: Results of U-Th-Pb analyses for igneous and detrital zircon samples,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Isotope ratios,,,,,Apparent ages (Ma),,,,,,,,Concordance,
,,,,,,,,,,,,,,,,,,,,
Analysis,U,206Pb,U/Th,206Pb*,±2s,207Pb*,±2s,206Pb*,±2s,error,206Pb*,±2s,207Pb*,±2s,206Pb*,±2s,Best age,±2s,68 vs. 67,68 vs. 75
,(ppm),204Pb,,207Pb*,(%),235U*,(%),238U,(%),corr.,238U*,(Ma),235U,(Ma),207Pb*,(Ma),(Ma),(Ma),(%),(%)
,,,,,,,,,,,,,,,,,,,,
MR24-009 256,239,61155,2.49,16.1884,2.8,0.81285,4.8,0.095479,4.0,0.818,587.9,22.2,604.0,22.0,665.3,59.6,587.9,22.2,88.4,97.3
MR24-009 257,448,185006,2.47,17.0453,1.9,0.69559,3.3,0.08603,2.6,0.814,532.0,13.5,536.2,13.6,553.8,41.2,532.0,13.5,96.1,99.2
MR24-009 258,161,77623,0.81,8.0289,1.8,5.73659,4.4,0.334197,4.0,0.912,1858.7,64.9,1936.9,38.2,2021.6,32.1,2021.6,32.1,91.9,96.0
MR24-009 259,139,153432,1.32,16.1684,2.3,0.89231,4.9,0.104684,4.3,0.878,641.8,26.1,647.6,23.3,667.9,49.8,641.8,26.1,96.1,99.1
MR24-009 260,41,34588,0.72,5.3555,2.1,13.52775,6.5,0.525682,6.2,0.945,2723.2,137.4,2717.2,61.9,2712.8,35.2,2712.8,35.2,100.4,100.2
MR24-009 261,337,181477,15.57,7.574,1.3,6.94315,3.1,0.381569,2.8,0.904,2083.6,50.7,2104.2,28.0,2124.4,23.5,2124.4,23.5,98.1,99.0
MR24-009 262,239,74059,3.53,16.6086,2.5,0.79362,4.7,0.09564,4.0,0.846,588.8,22.4,593.2,21.1,610.1,54.2,588.8,22.4,96.5,99.3
MR24-009 263,203,119283,3.48,18.2732,3.4,0.44388,4.4,0.058853,2.8,0.642,368.6,10.1,373.0,13.7,400.0,75.5,368.6,10.1,92.2,98.8
MR24-009 264,213,63907,0.98,16.7714,2.5,0.83754,4.2,0.101922,3.4,0.806,625.7,20.4,617.8,19.6,589.0,54.5,625.7,20.4,106.2,101.3
MR24-009 265,419,289214,2.85,4.8873,1.5,15.88613,3.0,0.563354,2.5,0.852,2880.5,58.5,2870.0,28.2,2862.6,25.2,2862.6,25.2,100.6,100.4
MR24-009 266,46,7755,1.38,16.9988,7.4,0.7415,9.4,0.091458,5.8,0.617,564.2,31.3,563.3,40.6,559.7,160.9,564.2,31.3,100.8,100.2
MR24-009 267,168,24857,1.38,16.431,2.4,0.77902,5.2,0.092877,4.5,0.882,572.5,24.9,584.9,22.9,633.4,52.4,572.5,24.9,90.4,97.9
MR24-009 268,277,95016,1.61,16.4939,2.5,0.80888,4.2,0.096806,3.3,0.796,595.7,18.8,601.8,18.9,625.1,54.4,595.7,18.8,95.3,99.0
MR24-009 269,53,118883,1.82,8.0144,2.0,6.57437,7.1,0.382314,6.8,0.958,2087.1,120.6,2055.9,62.3,2024.8,36.1,2024.8,36.1,103.1,101.5
MR24-009 270,72,40884,1.3,9.801,2.3,3.97295,6.1,0.282539,5.6,0.922,1604.1,79.5,1628.7,49.2,1660.5,43.5,1660.5,43.5,96.6,98.5
MR24-009 271,637,97249,2.62,16.4332,1.6,0.83812,2.6,0.099937,2.0,0.788,614.0,11.9,618.1,12.0,633.1,34.3,614.0,11.9,97.0,99.3
MR24-009 272,295,196209,4.18,11.5558,1.4,2.70239,3.2,0.226591,2.8,0.893,1316.6,33.9,1329.1,23.6,1349.3,27.7,1349.3,27.7,97.6,99.1
MR24-009 273,311,46186,3.06,16.561,2.5,0.77652,3.7,0.093312,2.8,0.75,575.1,15.4,583.5,16.5,616.3,53.2,575.1,15.4,93.3,98.6
MR24-009 274,400,283269,0.65,16.3446,2.8,0.82658,3.8,0.098029,2.6,0.684,602.8,15.1,611.7,17.6,644.7,60.3,602.8,15.1,93.5,98.5
MR24-009 275,284,102236,1.37,7.1655,1.5,7.28755,2.9,0.378896,2.5,0.861,2071.1,44.3,2147.3,25.9,2220.9,25.5,2220.9,25.5,93.3,96.5
MR24-009 276,202,30173,1.02,16.3575,2.8,0.75143,5.0,0.089187,4.1,0.822,550.7,21.7,569.1,21.8,643.0,61.2,550.7,21.7,85.6,96.8
MR24-009 277,346,76869,4.55,16.5844,2.1,0.79843,4.0,0.096079,3.4,0.849,591.4,19.1,595.9,17.9,613.3,45.4,591.4,19.1,96.4,99.2
MR24-009 278,343,39803,0.92,16.1119,1.9,0.86132,3.7,0.100694,3.2,0.866,618.5,19.0,630.8,17.5,675.4,39.7,618.5,19.0,91.6,98.1
MR24-009 279,189,107041,5.75,14.6159,2.5,1.13912,6.0,0.120806,5.4,0.911,735.2,37.7,772.1,32.3,880.4,51.0,735.2,37.7,83.5,95.2
MR24-009 281,148,1703995,1.34,5.4584,1.5,12.45911,4.4,0.493456,4.1,0.937,2585.6,87.3,2639.6,41.2,2681.3,25.4,2681.3,25.4,96.4,98.0
MR24-009 282,41,91202,1.91,8.3639,2.4,5.46645,8.9,0.331749,8.5,0.963,1846.9,137.0,1895.3,76.1,1948.9,42.6,1948.9,42.6,94.8,97.4
MR24-009 283,91,11783,0.7,16.537,3.6,0.83354,6.0,0.100018,4.7,0.793,614.5,27.8,615.6,27.6,619.5,78.7,614.5,27.8,99.2,99.8
MR24-009 284,523,743006,4.77,18.2453,2.2,0.44664,4.5,0.059129,3.9,0.867,370.3,14.0,374.9,14.1,403.4,50.0,370.3,14.0,91.8,98.8
MR24-009 285,367,33747,2.04,16.484,3.7,0.78406,7.1,0.093779,6.0,0.855,577.8,33.4,587.8,31.5,626.4,78.8,577.8,33.4,92.2,98.3
MR24-009 286,180,177859,1.33,16.357,3.5,0.76315,6.2,0.090575,5.1,0.824,558.9,27.2,575.8,27.1,643.1,75.1,558.9,27.2,86.9,97.1
MR24-009 287,353,175880,1.53,7.3651,1.4,6.86317,3.7,0.366772,3.5,0.932,2014.2,60.2,2093.9,33.1,2173.2,23.6,2173.2,23.6,92.7,96.2
MR24-009 288,667,48559,5.1,19.4848,2.7,0.33839,3.5,0.047842,2.3,0.647,301.3,6.7,295.9,9.0,254.3,61.3,301.3,6.7,118.5,101.8
MR24-009 289,315,124751,4.94,16.7329,1.9,0.75086,3.5,0.091164,2.9,0.834,562.4,15.8,568.7,15.3,594.0,42.2,562.4,15.8,94.7,98.9
MR24-009 290,288,461322,1.24,8.2712,1.3,5.93205,3.1,0.356015,2.8,0.905,1963.3,47.0,1965.9,26.7,1968.7,23.3,1968.7,23.3,99.7,99.9
MR24-009 291,243,46652,0.85,16.6157,3.1,0.81961,4.0,0.098815,2.5,0.624,607.5,14.4,607.8,18.2,609.2,67.1,607.5,14.4,99.7,100.0
MR24-009 292,60,81888,3.66,13.7905,3.5,1.71197,7.6,0.171304,6.8,0.89,1019.3,63.9,1013.0,48.8,999.5,70.4,999.5,70.4,102.0,100.6
MR24-009 293,101,37175,2.41,16.2621,2.9,0.82414,5.3,0.097245,4.5,0.842,598.2,25.5,610.4,24.3,655.5,61.3,598.2,25.5,91.3,98.0
MR24-009 294,136,175192,2.6,16.7545,2.8,0.76805,4.7,0.093372,3.7,0.805,575.5,20.6,578.6,20.6,591.2,60.0,575.5,20.6,97.3,99.5
MR24-009 295,39,20119,2.09,15.6865,4.9,1.04168,8.1,0.118565,6.5,0.796,722.3,44.2,724.8,42.2,732.4,104.4,722.3,44.2,98.6,99.7
MR24-009 296,549,160868,6.34,16.3814,2.3,0.80633,5.3,0.095842,4.8,0.905,590.0,27.0,600.4,24.0,639.9,48.5,590.0,27.0,92.2,98.3
MR24-009 297,138,521385,3.2,11.6844,2.1,2.58265,4.3,0.218961,3.7,0.87,1276.4,43.0,1295.7,31.3,1327.9,40.8,1327.9,40.8,96.1,98.5
MR24-009 298,387,475913,3.47,10.4813,1.7,3.32933,4.2,0.253201,3.9,0.912,1455.0,50.3,1488.0,33.1,1535.3,32.8,1535.3,32.8,94.8,97.8
MR24-009 299,158,129137,0.73,8.232,1.8,5.99092,3.8,0.357842,3.4,0.883,1971.9,57.2,1974.5,33.1,1977.2,31.8,1977.2,31.8,99.7,99.9
MR24-009 300,222,370114,1.94,16.4147,3.2,0.86188,4.7,0.102654,3.5,0.732,629.9,20.8,631.1,22.2,635.5,69.3,629.9,20.8,99.1,99.8
MR24-009 301,170,51452,4.13,18.228,4.4,0.43811,5.7,0.057945,3.6,0.629,363.1,12.6,368.9,17.6,405.5,98.8,363.1,12.6,89.5,98.4
MR24-009 302,326,58111,2.28,16.5544,2.1,0.80891,3.6,0.097164,2.9,0.807,597.8,16.8,601.8,16.5,617.2,46.4,597.8,16.8,96.9,99.3
MR24-009 303,124,55336,1.63,15.5287,2.3,1.02571,5.8,0.115572,5.3,0.914,705.0,35.2,716.8,29.7,753.7,49.4,705.0,35.2,93.5,98.4
MR24-009 304,144,187204,2.67,16.5071,3.2,0.79839,4.7,0.095627,3.5,0.735,588.7,19.5,595.9,21.3,623.4,69.1,588.7,19.5,94.4,98.8
MR24-009 305,292,86321,8.41,16.073,3.5,0.84116,4.6,0.098101,2.9,0.643,603.3,17.0,619.8,21.3,680.6,75.0,603.3,17.0,88.6,97.3
MR24-009 306,971,46020,3.43,18.7737,2.4,0.34742,3.7,0.047326,2.8,0.75,298.1,8.1,302.8,9.6,339.1,55.2,298.1,8.1,87.9,98.4
MR24-009 307,267,81988,1.98,15.9253,2.2,0.96608,4.2,0.111634,3.5,0.845,682.2,23.0,686.4,20.9,700.3,47.8,682.2,23.0,97.4,99.4
MR24-009 308,178,236625,0.96,8.9678,1.9,4.83238,4.1,0.314444,3.7,0.895,1762.5,57.2,1790.6,34.9,1823.3,33.6,1823.3,33.6,96.7,98.4
MR24-009 309,812,2502467,22.01,8.301,1.8,5.74894,3.0,0.346267,2.5,0.807,1916.7,40.7,1938.8,26.3,1962.3,32.1,1962.3,32.1,97.7,98.9
MR24-009 310,82,22033,1.18,15.8884,3.1,0.88512,5.9,0.102042,5.0,0.847,626.4,29.8,643.7,28.1,705.2,66.7,626.4,29.8,88.8,97.3
MR24-009 311,232,62802,1.6,16.5251,2.8,0.84338,4.7,0.101126,3.8,0.809,621.0,22.6,621.0,22.0,621.0,59.9,621.0,22.6,100.0,100.0
MR24-009 312,84,20577,1.78,16.8984,3.7,0.8091,6.7,0.099207,5.5,0.831,609.8,32.2,601.9,30.3,572.7,80.6,609.8,32.2,106.5,101.3
MR24-009 313,111,26845,2.21,15.9042,4.0,0.83946,6.7,0.096874,5.4,0.805,596.1,30.7,618.8,31.0,703.1,84.4,596.1,30.7,84.8,96.3
MR24-009 314,87,1500,3.92,21.6202,26.2,0.32502,26.4,0.050987,3.6,0.135,320.6,11.1,285.8,65.9,9.7,632.5,320.6,11.1,3305.2,112.2
MR24-009 315,297,84258,2.76,16.6833,2.3,0.8324,3.8,0.100764,3.1,0.805,618.9,18.1,614.9,17.6,600.4,49.0,618.9,18.1,103.1,100.7
,,,,,,,,,,,,,,,,,,,,
Rejected Analyses,,,,,,,,,,,,,,,,,,,,
MR24-009 5,600.0,66766.0,2.48,4.8823,2.0,9.97258,4.0,0.353286,3.5,0.87,1950.3,58.7,2432.2,37.0,2864.3,32.2,2864.3,32.2,68.1,80.2
MR24-009 10,136.0,3000.0,183331.38,10.0,1.0,0.1,1.0,0.1,1.0,0.8,500.0,1.0,500.0,1.0,500.0,1.0,500.0,1.0,100.0,100.0
MR24-009 17,112.0,22285.0,1.76,16.8012,3.6,0.84046,5.7,0.102459,4.5,0.78,628.8,26.8,619.4,26.6,585.2,77.9,628.8,26.8,107.5,101.5
MR24-009 37,444.0,1500.0,3.3,5.111,74.5,1.96106,75.3,0.072726,10.9,0.145,452.6,47.7,1102.2,517.3,2789.5,1271.7,2789.5,1271.7,16.2,41.1
MR24-009 39,294.0,24990.0,0.77,16.8128,2.3,0.84109,3.9,0.102607,3.2,0.814,629.7,19.0,619.7,18.1,583.7,49.1,629.7,19.0,107.9,101.6
MR24-009 42,299.0,72934.0,2.4,9.1972,2.0,2.62282,4.3,0.175033,3.8,0.888,1039.8,36.6,1307.1,31.5,1777.4,35.9,1777.4,35.9,58.5,79.6
MR24-009 53,451.0,34082.0,3.11,15.3,3.0,0.91294,3.9,0.101351,2.4,0.623,622.3,14.3,658.6,18.8,785.0,63.8,622.3,14.3,79.3,94.5
MR24-009 58,87.0,14195.0,2.02,13.9635,5.8,0.98872,8.5,0.100175,6.2,0.731,615.4,36.4,698.1,42.8,974.1,117.8,615.4,36.4,63.2,88.2
MR24-009 66,165.0,3000.0,197.86,10.0,1.0,0.1,1.0,0.1,1.0,0.8,500.0,1.0,500.0,1.0,500.0,1.0,500.0,1.0,100.0,100.0
MR24-009 89,24.0,6148.0,1.03,17.1611,8.4,0.78264,16.9,0.097454,14.6,0.868,599.5,83.8,587.0,75.2,539.0,183.1,599.5,83.8,111.2,102.1
MR24-009 93,246.0,52769.0,1.39,16.4783,2.2,0.94733,7.4,0.113268,7.0,0.955,691.7,46.1,676.7,36.4,627.1,47.1,691.7,46.1,110.3,102.2
MR24-009 120,94.0,221497.0,1.98,17.0139,3.8,0.80463,5.8,0.099333,4.4,0.759,610.5,25.8,599.4,26.5,557.8,83.0,610.5,25.8,109.4,101.9
MR24-009 135,210.0,281720.0,1.75,3.7878,1.5,17.68263,3.6,0.485993,3.3,0.915,2553.3,69.3,2972.6,34.5,3270.0,22.8,3270.0,22.8,78.1,85.9
MR24-009 146,557.0,117185.0,2.04,7.3803,2.1,4.44651,3.8,0.238116,3.2,0.83,1376.9,39.3,1721.0,31.7,2169.6,37.2,2169.6,37.2,63.5,80.0
MR24-009 152,398.0,1500.0,1.23,6.7086,11.0,2.40647,11.4,0.11714,2.8,0.245,714.1,18.9,1244.5,81.8,2334.4,189.3,2334.4,189.3,30.6,57.4
MR24-009 157,58.0,33721.0,1.66,13.6312,4.8,1.16069,7.3,0.1148,5.6,0.761,700.6,37.0,782.3,40.0,1023.0,96.2,700.6,37.0,68.5,89.6
MR24-009 181,143.0,37510.0,5.89,11.3679,2.4,2.03419,4.7,0.16779,4.0,0.859,999.9,37.5,1127.0,32.1,1380.9,46.4,1380.9,46.4,72.4,88.7
MR24-009 185,54.0,34025.0,4.38,16.335,4.4,0.99862,8.2,0.118362,6.9,0.844,721.1,47.0,703.1,41.4,646.0,93.9,721.1,47.0,111.6,102.6
MR24-009 193,328.0,27343.0,0.9,8.56,1.9,2.63046,5.6,0.16338,5.2,0.937,975.5,47.2,1309.2,41.0,1907.3,35.0,1907.3,35.0,51.1,74.5
MR24-009 196,9.0,3000.0,12646.89,10.0,1.0,0.1,1.0,0.1,1.0,0.8,500.0,1.0,500.0,1.0,500.0,1.0,500.0,1.0,100.0,100.0
MR24-009 197,381.0,3000.0,70.26,10.0,1.0,0.1,1.0,0.1,1.0,0.8,500.0,1.0,500.0,1.0,500.0,1.0,500.0,1.0,100.0,100.0
MR24-009 201,167.0,37068.0,0.91,16.8958,3.0,0.86464,5.3,0.106,4.4,0.82,649.5,26.9,632.7,25.0,573.0,66.3,649.5,26.9,113.4,102.7
MR24-009 213,146.0,380038.0,1.26,7.5685,1.8,6.75746,6.6,0.371097,6.3,0.962,2034.6,110.2,2080.2,58.1,2125.6,31.6,2125.6,31.6,95.7,97.8
MR24-009 229,92.0,13659.0,1.16,17.0696,4.1,0.8068,7.1,0.099927,5.7,0.812,614.0,33.6,600.7,32.1,550.7,90.3,614.0,33.6,111.5,102.2
MR24-009 234,38.0,3000.0,42.68,10.0,1.0,0.1,1.0,0.1,1.0,0.8,500.0,1.0,500.0,1.0,500.0,1.0,500.0,1.0,100.0,100.0
MR24-009 280,262.0,926934.0,6.69,9.5697,5.1,2.28374,6.3,0.158576,3.8,0.593,948.9,33.1,1207.3,44.7,1704.6,93.8,1704.6,93.8,55.7,78.6
,,,,,,,,,,,,,,,,,,,,
JB3 (MR24-017),,,,,,,,,,,,,,,,,,,,
MR24-017 1,163,81729,2.9,16.7245,3.1,0.78222,6.2,0.094924,5.4,0.869,584.6,30.2,586.7,27.7,595.1,66.5,584.6,30.2,98.2,99.6
MR24-017 3,316,134175,2.93,12.2872,1.7,2.27998,3.5,0.203273,3.1,0.882,1192.9,33.7,1206.1,24.8,1229.9,32.4,1229.9,32.4,97.0,98.9
MR24-017 4,235,73235,1.52,17.5637,2.5,0.68177,4.4,0.086886,3.6,0.821,537.1,18.6,527.8,18.1,488.0,55.3,537.1,18.6,110.1,101.8
MR24-017 5,239,237574,1.22,7.9932,1.6,6.29317,2.9,0.364994,2.5,0.842,2005.8,42.8,2017.5,25.8,2029.5,28.2,2029.5,28.2,98.8,99.4
MR24-017 6,586,685706,9.08,16.5777,2.2,0.83365,3.5,0.100277,2.8,0.786,616.0,16.3,615.6,16.3,614.2,47.2,616.0,16.3,100.3,100.1
MR24-017 7,96,436099,1.21,7.7936,1.8,6.56154,5.2,0.371054,4.9,0.938,2034.4,85.7,2054.2,46.1,2074.1,31.9,2074.1,31.9,98.1,99.0
MR24-017 8,210,242825,1.02,8.4607,1.3,5.45359,2.9,0.3348,2.5,0.894,1861.6,41.2,1893.3,24.5,1928.3,22.9,1928.3,22.9,96.5,98.3
MR24-017 9,481,5516725,2.02,7.6318,1.3,6.75228,3.6,0.373912,3.4,0.931,2047.8,59.6,2079.5,32.3,2111.0,23.4,2111.0,23.4,97.0,98.5
MR24-017 10,237,690333,2.06,16.7849,2.4,0.78195,3.9,0.095234,3.1,0.801,586.4,17.7,586.6,17.5,587.3,51.0,586.4,17.7,99.8,100.0
MR24-017 11,847,2939514,1.95,5.4607,1.6,10.19813,3.3,0.404077,2.9,0.867,2187.8,52.9,2452.9,30.4,2680.6,27.2,2680.6,27.2,81.6,89.2
MR24-017 12,104,163990,2.93,7.8528,1.4,6.45003,3.7,0.367521,3.5,0.932,2017.7,60.4,2039.1,32.9,2060.8,24.0,2060.8,24.0,97.9,99.0
MR24-017 13,261,616234,7.75,7.9174,1.7,6.51789,3.7,0.374443,3.3,0.894,2050.3,58.0,2048.3,32.5,2046.3,29.3,2046.3,29.3,100.2,100.1
MR24-017 14,216,122260,2.21,16.3745,2.7,0.88181,4.7,0.10477,3.9,0.819,642.3,23.6,642.0,22.4,640.8,58.3,642.3,23.6,100.2,100.0
MR24-017 15,71,149310,1.79,4.0941,1.7,20.71014,5.3,0.615221,5.0,0.945,3090.9,123.6,3125.1,51.6,3147.2,27.6,3147.2,27.6,98.2,98.9
MR24-017 16,228,157067,1.67,16.4901,3.1,0.78729,4.7,0.094201,3.5,0.741,580.3,19.2,589.6,20.9,625.6,67.6,580.3,19.2,92.8,98.4
MR24-017 17,194,354960,0.81,16.7373,2.5,0.77496,5.0,0.094115,4.3,0.863,579.8,24.1,582.6,22.3,593.4,55.0,579.8,24.1,97.7,99.5
MR24-017 18,125,238595,1.93,6.2528,1.7,9.7086,4.9,0.440476,4.6,0.936,2352.8,91.2,2407.5,45.5,2454.1,29.4,2454.1,29.4,95.9,97.7
MR24-017 19,243,99043,0.88,16.4294,3.2,0.80214,5.1,0.095623,4.0,0.776,588.7,22.3,598.0,23.1,633.6,69.2,588.7,22.3,92.9,98.4
MR24-017 20,481,82701,1.08,16.9271,1.4,0.75942,3.4,0.093274,3.1,0.912,574.9,17.0,573.7,14.8,569.0,30.2,574.9,17.0,101.0,100.2
MR24-017 21,648,402304,3.12,12.765,1.4,2.14305,2.8,0.198493,2.4,0.856,1167.2,25.3,1162.8,19.2,1154.6,28.4,1154.6,28.4,101.1,100.4
MR24-017 22,509,359357,3.15,10.8101,1.7,3.1067,3.9,0.243682,3.6,0.907,1405.8,45.2,1434.4,30.3,1476.9,31.6,1476.9,31.6,95.2,98.0
MR24-017 23,238,178660,1.25,7.851,1.8,6.64459,3.9,0.37852,3.4,0.882,2069.4,60.4,2065.3,34.1,2061.2,32.2,2061.2,32.2,100.4,100.2
MR24-017 25,1642,198689,16.63,19.0785,1.6,0.34527,3.0,0.047797,2.6,0.853,301.0,7.6,301.2,7.8,302.6,35.8,301.0,7.6,99.5,99.9
MR24-017 26,308,157211,2.4,15.8584,2.9,1.00782,4.6,0.115968,3.6,0.774,707.3,23.8,707.8,23.4,709.3,61.7,707.3,23.8,99.7,99.9
MR24-017 27,644,575617,1.57,10.1015,1.9,3.80031,3.3,0.278547,2.7,0.817,1584.0,38.0,1592.8,26.7,1604.4,35.7,1604.4,35.7,98.7,99.4
MR24-017 28,194,211041,0.61,17.1633,4.4,0.69337,7.5,0.086349,6.0,0.804,533.9,30.7,534.8,31.0,538.7,96.9,533.9,30.7,99.1,99.8
MR24-017 29,153,154490,0.53,8.2049,2.4,5.80077,5.6,0.345343,5.0,0.906,1912.3,83.5,1946.5,48.2,1983.1,41.9,1983.1,41.9,96.4,98.2
MR24-017 30,554,189347,2.81,8.2823,2.3,5.65766,3.4,0.340002,2.5,0.732,1886.7,40.1,1924.9,28.9,1966.4,40.8,1966.4,40.8,95.9,98.0
MR24-017 31,155,98565,1.22,14.143,2.2,1.52369,4.0,0.156363,3.4,0.837,936.5,29.3,940.0,24.6,948.0,45.0,948.0,45.0,98.8,99.6
MR24-017 32,262,238377,0.72,6.1372,1.5,10.00816,3.4,0.445672,3.0,0.896,2376.0,60.3,2435.5,31.3,2485.6,25.4,2485.6,25.4,95.6,97.6
MR24-017 33,200,131367,2.15,16.3464,2.7,0.8249,4.6,0.09784,3.7,0.812,601.7,21.3,610.8,21.0,644.5,57.4,601.7,21.3,93.4,98.5
MR24-017 34,157,66103,1.99,16.9528,4.1,0.75296,5.3,0.092621,3.4,0.64,571.0,18.7,569.9,23.3,565.7,89.2,571.0,18.7,100.9,100.2
MR24-017 35,547,133138,2.03,15.9067,1.9,0.97465,3.2,0.112493,2.5,0.798,687.2,16.6,690.9,16.0,702.7,40.9,687.2,16.6,97.8,99.5
MR24-017 37,83,85755,0.68,7.862,2.2,6.62108,5.5,0.37771,5.0,0.917,2065.6,88.7,2062.2,48.3,2058.7,38.5,2058.7,38.5,100.3,100.2
MR24-017 38,272,189187,1.7,16.9482,2.6,0.65891,5.0,0.081029,4.3,0.861,502.3,20.9,513.9,20.3,566.3,55.8,502.3,20.9,88.7,97.7
MR24-017 39,119,26830,3.34,17.3601,4.3,0.60834,5.8,0.076629,3.9,0.674,476.0,17.8,482.5,22.1,513.7,93.4,476.0,17.8,92.7,98.7
MR24-017 40,751,1473244,3.81,5.5493,1.5,11.48863,4.3,0.462593,4.0,0.941,2451.0,82.5,2563.7,40.2,2654.0,24.1,2654.0,24.1,92.4,95.6
MR24-017 42,108,155198,3.83,5.3577,1.7,13.2046,4.1,0.513335,3.7,0.908,2670.8,80.8,2694.4,38.4,2712.1,28.1,2712.1,28.1,98.5,99.1
MR24-017 43,791,861103,2.19,15.25,1.7,1.18817,3.3,0.131474,2.8,0.845,796.3,20.7,795.1,18.0,791.8,36.6,796.3,20.7,100.6,100.2
MR24-017 45,556,185607,1.8,16.791,1.7,0.79292,2.9,0.096605,2.3,0.811,594.5,13.3,592.8,13.0,586.5,36.7,594.5,13.3,101.4,100.3
MR24-017 46,177,58113,1.34,16.2031,3.9,0.84781,5.5,0.099676,3.8,0.694,612.5,22.1,623.4,25.4,663.4,84.2,612.5,22.1,92.3,98.3
MR24-017 47,378,87543,4.75,13.2535,1.8,1.69949,3.5,0.163434,3.0,0.859,975.8,27.4,1008.3,22.5,1079.6,36.1,1079.6,36.1,90.4,96.8
MR24-017 48,206,223737,2.19,15.884,2.6,1.01581,4.0,0.117075,3.0,0.751,713.7,20.2,711.8,20.3,705.8,55.8,713.7,20.2,101.1,100.3
MR24-017 49,527,1810905,2.77,6.1006,1.8,9.03464,3.4,0.399926,2.9,0.844,2168.7,53.2,2341.5,31.3,2495.7,30.9,2495.7,30.9,86.9,92.6
MR24-017 50,476,79154,0.7,15.7211,2.8,0.89793,4.5,0.102428,3.5,0.773,628.6,20.8,650.6,21.6,727.7,60.3,628.6,20.8,86.4,96.6
MR24-017 51,274,172804,2.1,11.972,1.7,2.31092,4.2,0.200745,3.8,0.917,1179.3,41.0,1215.6,29.4,1280.7,32.2,1280.7,32.2,92.1,97.0
MR24-017 52,265,152525,0.34,8.1356,1.6,5.80756,3.0,0.34283,2.5,0.838,1900.3,41.6,1947.5,26.1,1998.2,29.3,1998.2,29.3,95.1,97.6
MR24-017 53,129,46166,1.04,16.7049,3.4,0.70199,5.4,0.085089,4.2,0.775,526.4,21.2,540.0,22.7,597.6,74.1,526.4,21.2,88.1,97.5
MR24-017 54,167,56471,2.05,13.6054,2.6,1.78218,5.1,0.175937,4.4,0.86,1044.7,42.5,1039.0,33.3,1026.9,52.9,1026.9,52.9,101.7,100.5
MR24-017 55,275,152520,3.69,13.3364,2.5,1.64001,4.1,0.1587,3.3,0.801,949.5,29.1,985.7,26.0,1067.2,49.6,1067.2,49.6,89.0,96.3
MR24-017 56,114,37614,1.93,15.1835,3.5,1.1545,5.8,0.127192,4.6,0.796,771.8,33.4,779.4,31.4,801.0,73.0,771.8,33.4,96.4,99.0
MR24-017 58,370,656421,0.73,8.1059,1.6,6.03336,3.4,0.354859,3.0,0.886,1957.8,51.4,1980.7,29.9,2004.7,28.3,2004.7,28.3,97.7,98.8
MR24-017 59,1084,251743,5.98,16.8078,1.1,0.73642,2.5,0.089812,2.3,0.894,554.4,12.0,560.3,10.9,584.3,24.7,554.4,12.0,94.9,98.9
MR24-017 60,223,1036744,1.8,7.6326,2.0,6.55791,4.6,0.36319,4.1,0.896,1997.3,70.9,2053.7,40.6,2110.8,35.9,2110.8,35.9,94.6,97.3
MR24-017 62,209,78966,1.82,16.426,2.3,0.80941,4.0,0.09647,3.3,0.827,593.7,18.8,602.1,18.2,634.0,48.5,593.7,18.8,93.6,98.6
MR24-017 63,105,49872,1.19,12.0456,2.4,2.4765,6.5,0.216452,6.1,0.928,1263.1,69.6,1265.2,47.3,1268.8,47.4,1268.8,47.4,99.6,99.8
MR24-017 64,744,1225376,37.87,8.0177,1.4,5.87044,3.1,0.341519,2.8,0.901,1894.0,46.1,1956.9,27.0,2024.1,24.0,2024.1,24.0,93.6,96.8
MR24-017 65,267,162355,0.85,15.4259,2.4,1.01679,4.7,0.113809,4.1,0.859,694.8,26.7,712.3,24.2,767.7,51.0,694.8,26.7,90.5,97.5
MR24-017 66,672,167020,0.78,16.0464,2.1,0.88229,3.9,0.102727,3.3,0.836,630.4,19.7,642.2,18.6,684.1,45.9,630.4,19.7,92.2,98.2
MR24-017 67,153,179775,2.12,7.9499,1.9,5.92059,6.1,0.341526,5.8,0.949,1894.0,95.3,1964.3,53.2,2039.1,34.3,2039.1,34.3,92.9,96.4
MR24-017 69,234,154613,0.67,16.7424,2.5,0.80728,4.1,0.09807,3.3,0.791,603.1,18.8,600.9,18.7,592.8,54.6,603.1,18.8,101.7,100.4
MR24-017 70,155,2769010,1.37,3.6602,1.6,24.03451,4.2,0.63832,3.9,0.927,3182.4,96.8,3269.8,40.5,3323.8,24.4,3323.8,24.4,95.7,97.3
MR24-017 71,164,43549,2.62,16.6734,3.4,0.77028,6.4,0.093189,5.4,0.847,574.4,29.6,579.9,28.1,601.7,73.2,574.4,29.6,95.5,99.1
MR24-017 72,195,16568,2.52,12.8576,16.0,1.01231,16.4,0.094442,3.5,0.215,581.8,19.6,710.0,84.0,1140.2,319.5,581.8,19.6,51.0,81.9
MR24-017 73,308,66204,1.9,16.5157,2.4,0.7768,4.2,0.09309,3.5,0.822,573.8,19.0,583.7,18.6,622.2,51.6,573.8,19.0,92.2,98.3
