Table S1: Results of U-Th-Pb analyses for igneous and detrital zircon samples,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Isotope ratios,,,,,Apparent ages (Ma),,,,,,,,Concordance,
,,,,,,,,,,,,,,,,,,,,
Analysis,U,206Pb,U/Th,206Pb*,±2s,207Pb*,±2s,206Pb*,±2s,error,206Pb*,±2s,207Pb*,±2s,206Pb*,±2s,Best age,±2s,68 vs. 67,68 vs. 75
,(ppm),204Pb,,207Pb*,(%),235U*,(%),238U,(%),corr.,238U*,(Ma),235U,(Ma),207Pb*,(Ma),(Ma),(Ma),(%),(%)
,,,,,,,,,,,,,,,,,,,,
MR24-006 70,45,184856,3.62,8.2959,2.2,5.75424,8.1,0.346376,7.8,0.961,1917.3,129.4,1939.6,70.2,1963.4,39.9,1963.4,39.9,97.7,98.9
MR24-006 71,199,84245,2.77,15.7676,2.3,0.83235,3.9,0.095228,3.2,0.812,586.4,17.9,614.9,18.1,721.4,48.6,586.4,17.9,81.3,95.4
MR24-006 73,76,21340,4.26,7.1632,2.8,7.2996,4.5,0.379403,3.5,0.78,2073.5,61.9,2148.8,40.0,2221.5,48.6,2221.5,48.6,93.3,96.5
MR24-006 75,145,76033,1.91,16.6582,2.8,0.76966,4.6,0.09303,3.6,0.792,573.4,20.0,579.6,20.3,603.7,60.9,573.4,20.0,95.0,98.9
MR24-006 76,151,97381,1.43,13.8616,2.3,1.63444,4.3,0.16439,3.6,0.836,981.1,32.4,983.6,26.8,989.0,47.5,989.0,47.5,99.2,99.7
MR24-006 77,45,110927,3.63,7.654,2.0,7.06262,5.5,0.392239,5.1,0.931,2133.2,93.2,2119.3,49.0,2105.9,35.3,2105.9,35.3,101.3,100.7
MR24-006 78,299,371977,2.45,18.9783,3.8,0.31239,5.0,0.043018,3.2,0.642,271.5,8.5,276.0,12.0,314.5,86.4,271.5,8.5,86.3,98.4
MR24-006 79,157,75674,1.21,16.5562,2.7,0.85831,4.7,0.10311,3.8,0.822,632.6,23.1,629.2,21.9,617.0,57.5,632.6,23.1,102.5,100.5
MR24-006 80,130,93361,2.94,16.5401,2.1,0.86409,3.9,0.103703,3.3,0.839,636.1,20.0,632.4,18.6,619.1,46.3,636.1,20.0,102.7,100.6
MR24-006 82,75,999376,5.9,7.9205,1.3,6.58264,4.2,0.378308,4.0,0.953,2068.4,70.4,2057.0,36.8,2045.7,22.4,2045.7,22.4,101.1,100.6
MR24-006 84,243,231564,2.43,8.1631,1.6,6.00376,2.5,0.355609,1.9,0.752,1961.3,31.4,1976.4,21.5,1992.2,28.9,1992.2,28.9,98.4,99.2
MR24-006 85,157,737183,1.16,16.7352,2.7,0.83231,5.6,0.101068,4.9,0.878,620.7,29.0,614.9,25.7,593.7,57.7,620.7,29.0,104.5,100.9
MR24-006 86,88,583395,9.44,16.4366,3.1,0.90345,5.0,0.107749,4.0,0.791,659.7,24.8,653.6,24.1,632.6,66.0,659.7,24.8,104.3,100.9
MR24-006 87,85,179237,2.38,7.8306,2.2,6.45433,4.6,0.366726,4.0,0.88,2014.0,69.3,2039.7,40.1,2065.8,38.2,2065.8,38.2,97.5,98.7
MR24-006 90,231,165660,0.98,16.2033,1.8,0.89195,3.3,0.104866,2.7,0.831,642.9,16.7,647.4,15.7,663.3,39.1,642.9,16.7,96.9,99.3
MR24-006 91,220,1590072,0.71,7.7224,1.3,6.75642,4.1,0.378583,3.9,0.951,2069.7,69.7,2080.0,36.6,2090.3,22.6,2090.3,22.6,99.0,99.5
MR24-006 92,247,798098,6.35,7.9012,2.0,5.98101,4.6,0.342894,4.1,0.897,1900.6,67.3,1973.1,39.7,2050.0,35.6,2050.0,35.6,92.7,96.3
MR24-006 93,211,1529527,8.15,7.9705,1.9,6.20539,5.1,0.358879,4.7,0.931,1976.9,80.7,2005.2,44.5,2034.5,33.0,2034.5,33.0,97.2,98.6
MR24-006 94,135,961122,1.68,16.4407,2.1,0.84518,4.3,0.100824,3.7,0.876,619.2,22.1,622.0,19.9,632.1,44.4,619.2,22.1,98.0,99.5
MR24-006 95,76,165097,4.66,16.5616,2.5,0.83418,3.9,0.100243,2.9,0.757,615.8,17.2,615.9,17.9,616.2,54.7,615.8,17.2,99.9,100.0
MR24-006 96,158,177808,3.48,16.7201,2.8,0.79215,5.2,0.096104,4.4,0.844,591.5,24.8,592.4,23.4,595.7,60.5,591.5,24.8,99.3,99.8
MR24-006 97,73,100127,2.28,7.9146,1.6,6.13951,4.7,0.35258,4.4,0.937,1946.9,74.3,1995.9,41.2,2047.0,29.1,2047.0,29.1,95.1,97.5
MR24-006 99,140,166035,1.75,8.1259,1.7,6.07189,3.8,0.358006,3.4,0.898,1972.7,58.5,1986.2,33.4,2000.3,30.0,2000.3,30.0,98.6,99.3
MR24-006 100,181,1591730,2.12,7.8799,1.9,6.4806,3.5,0.370538,2.9,0.844,2031.9,51.3,2043.3,30.7,2054.7,33.0,2054.7,33.0,98.9,99.4
MR24-006 101,98,167952,1.32,17.0675,4.6,0.74731,5.9,0.092547,3.7,0.629,570.6,20.1,566.7,25.4,550.9,99.4,570.6,20.1,103.6,100.7
MR24-006 105,21,41158,2.84,16.2196,5.6,0.87758,8.9,0.103281,6.9,0.775,633.6,41.4,639.7,42.1,661.1,120.0,633.6,41.4,95.8,99.0
MR24-006 106,105,33432,2.32,16.164,3.8,0.81345,5.5,0.095406,3.9,0.716,587.4,22.1,604.4,25.0,668.5,82.1,587.4,22.1,87.9,97.2
MR24-006 107,60,216360,2.75,7.8029,1.4,6.54496,4.8,0.370558,4.6,0.955,2032.0,79.6,2052.0,42.1,2072.1,25.0,2072.1,25.0,98.1,99.0
