Sample,Region,Subregion,Source,Latitude (DD),Longitude (DD),Rock Type,Period,Age (Ma),Error (Ma),Lower Error (Ma),Error Type,System,Material,Technique,DOI,Data Available,Notes,,,UTM 29N Easting,UTM 29N Northing,Latitude (D),Latitude (M),Latitude (S),Longitude (D),Longitude (M),Longitude (S)
KH,Western Meseta,Jebilet,Delchini et al. (2018),31.899,-8.208,Felsic Rock,Carboniferous,345,2,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1029/2018TC005002,Spreadsheet,,,,,,,,,,,
JGO1,Western Meseta,Jebilet,Delchini et al. (2018),31.789,-7.899,Granodiorite,Carboniferous,337,5,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1029/2018TC005002,Spreadsheet,,,,,,,,,,,
JGO2,Western Meseta,Jebilet,Delchini et al. (2018),31.716,-7.943,Granodiorite,Carboniferous,344,3,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1029/2018TC005002,Spreadsheet,,,,,,,,,,,
JGO3,Western Meseta,Jebilet,Delchini et al. (2018),31.793,-7.872,Granodiorite,Carboniferous,343,7,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1029/2018TC005002,Spreadsheet,,,,,,,,,,,
JGO4,Western Meseta,Jebilet,Delchini et al. (2018),31.781,-7.875,Granodiorite,Carboniferous,348,8,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1029/2018TC005002,Spreadsheet,,,,,,,,,,,
JTB1,Western Meseta,Jebilet,Delchini et al. (2018),31.772,-8.032,Granodiorite,Carboniferous,346,10,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1029/2018TC005002,Spreadsheet,,,,,,,,,,,
JTB2,Western Meseta,Jebilet,Delchini et al. (2018),31.752,-8.054,Granodiorite,Carboniferous,336,4,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1029/2018TC005002,Spreadsheet,,,,,,,,,,,
JTB3,Western Meseta,Jebilet,Delchini et al. (2018),31.729,-8.041,Granodiorite,Carboniferous,337,4,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1029/2018TC005002,Spreadsheet,,,,,,,,,,,
JTB4,Western Meseta,Jebilet,Delchini et al. (2018),31.714,-8.021,Granodiorite,Carboniferous,358,7,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1029/2018TC005002,Spreadsheet,,,,,,,,,,,
DS57,Western Meseta,Jebilet,Marcoux et al. (2008),31.71,-8.14,Rhyolite,Carboniferous,330.8,2.2,,,Ar-Ar,Sericite,Plateau,https://doi.org/10.1016/j.oregeorev.2007.03.004,PDF Table,,,,,,,,,,,
DSF3G,Western Meseta,Jebilet,Marcoux et al. (2008),31.71,-8.14,Rhyolite,Carboniferous,331.7,14.8,,,Ar-Ar,Plagioclase,Plateau,https://doi.org/10.1016/j.oregeorev.2007.03.004,PDF Table,,,,,,,,,,,
J13A,Western Meseta,Jebilet,Chopin et al. (2023),31.7774,-7.819466667,Granodiorite,Carboniferous,335.2,0.8,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1016/j.gr.2023.02.004,Spreadsheet,,,,,,31,46,38.64,-7,50,49.92
R159,Western Meseta,Rehamna,Chopin et al. (2014),32.3486,-7.5949,Granite,Permian,285.2,5.5,,,Ar-Ar,White Mica,Plateau,https://doi.org/10.1002/2014TC003539,Spreadsheet,,,,604364,3578399,,,,,,
R166,Western Meseta,Rehamna,Chopin et al. (2014),32.3877,-7.7544,Biotite Granite,Permian,274.8,5.4,,,Ar-Ar,Biotite,Plateau,https://doi.org/10.1002/2014TC003539,Spreadsheet,,,,590512,3582673,,,,,,
Tz10/05,Western Meseta,Zaer,Rossi et al. (2016),33.18,-5.63,Granodiorite,Permian,270.4,3.9,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1007/978-3-319-31733-5_3,PDF Table,Younger of two populations,,,,,,,,,,
